smiles	CYP3A4	hERG_pIC50
[O-][N+](=O)c1ccccc1[C@H]2[C@@H](N2C3CCCCC3)C(=O)c4ccccc4	5.4	*
[O-][N+](=O)c1ccccc1\C=C\2/CCN3C(=O)c4ccccc4N=C23	5	*
[O-][N+](=O)c1ccccc1\C=N\n2c(S)nnc2COc3ccccc3	5.3	*
[O-][N+](=O)c1ccccc1C(=O)N\N=C\c2ccc(Br)s2	4.75	*
[O-][N+](=O)c1ccccc1C(=O)Nc2cccc(NC(=O)c3ccccc3[N+](=O)[O-])n2	5	*
[O-][N+](=O)c1ccccc1C2=NOC(C2)C(=O)NCc3ccccc3C(F)(F)F	4.8	*
[O-][N+](=O)c1ccccc1C2=NOC(C2)C(=O)NCCCCc3ccccc3	4.85	*
[O-][N+](=O)c1ccccc1c2oc(\C=C\C(=O)c3ccc(F)cc3)cc2	5	*
[O-][N+](=O)c1ccccc1c2oc(\C=N/NC(=O)C3COc4cc5ccccc5cc4O3)cc2	4.75	*
[O-][N+](=O)c1ccccc1CC(=O)NCc2ccccc2Cl	4.8	*
[O-][N+](=O)c1ccccc1CC(=O)NCCSCc2c(F)cccc2Cl	4.85	*
[O-][N+](=O)c1ccccc1N\N=C\c2c[nH]c3ccccc23	4.6	*
[O-][N+](=O)c1ccccc1NC(=O)C2C(=C2c3ccccc3)c4ccccc4	4.7	*
[O-][N+](=O)c1ccccc1OCc2oc(cc2)C(=O)Nc3nc4ccccc4n3Cc5ccccc5	5.35	*
[O-][N+](=O)c1cccnc1NCCNc2ncc(cc2Cl)C(F)(F)F	4.9	*
